Well,SiteX,SiteY,Label,NearestNeighborDistance
C16,0,0,12,65.0
C16,0,0,12,77.33692520394123
C16,0,0,12,30.675723300355934
C16,0,0,12,30.675723300355934
C16,0,0,31,46.04345773288535
C16,0,0,31,46.04345773288535
C16,0,0,31,59.00847396772772
C16,0,0,31,93.86160024205851
C16,0,0,31,59.00847396772772
C16,0,0,31,42.95346318982906
C16,0,0,31,20.8806130178211
C16,0,0,31,20.8806130178211
C16,0,0,31,57.706152185014034
C16,0,0,32,87.69264507357501
C16,0,0,32,65.29931086925804
C16,0,0,32,65.29931086925804
C16,0,0,32,56.142675390472796
C16,0,0,32,56.142675390472796
C16,0,0,15,54.48853090330111
C16,0,0,15,54.48853090330111
C16,0,0,15,24.413111231467404
C16,0,0,15,24.413111231467404
C16,0,0,15,54.48853090330111
C16,0,0,15,63.071388124885914
C16,0,0,15,45.0
C16,0,0,15,45.0
C16,0,0,13,52.952809179494906
C16,0,0,13,14.866068747318506
C16,0,0,13,14.866068747318506
C16,0,0,13,61.61168720299745
C16,0,0,13,86.02325267042627
C16,0,0,13,50.635955604688654
C16,0,0,13,47.20169488482379
C16,0,0,13,103.39245620450265
C16,0,0,13,47.20169488482379
C16,0,0,13,45.803929962395145
C16,0,0,13,45.803929962395145
C16,0,0,13,21.18962010041709
C16,0,0,13,21.18962010041709
C16,0,0,13,124.57929201917949
C16,0,0,13,37.16180835212409
C16,0,0,13,37.16180835212409
C16,0,0,13,37.589892258425
C16,0,0,36,52.69724850502159
C16,0,0,36,57.0087712549569
C16,0,0,36,52.69724850502159
C16,0,0,36,89.35882720806042
C16,0,0,36,28.319604517012593
C16,0,0,36,119.60351165413162
C16,0,0,36,28.319604517012593
C16,0,0,10,115.57248807566617
C16,0,0,10,33.54101966249684
C16,0,0,10,16.76305461424021
C16,0,0,10,16.76305461424021
C16,0,0,10,51.73973328110612
C16,0,0,33,52.69724850502159
C16,0,0,33,14.560219778561036
C16,0,0,33,14.560219778561036
C16,0,0,33,52.69724850502159
C16,0,0,33,164.2954655491137
C16,0,0,17,50.59644256269407
C16,0,0,17,38.2099463490856
C16,0,0,17,35.4400902933387
C16,0,0,17,35.4400902933387
C16,0,0,17,36.40054944640259
C16,0,0,17,61.032778078668514
C16,0,0,17,20.615528128088304
C16,0,0,17,20.615528128088304
C16,0,0,17,29.154759474226502
C16,0,0,17,37.21558813185679
C16,0,0,17,13.601470508735444
C16,0,0,17,37.21558813185679
C16,0,0,17,13.601470508735444
C16,0,0,17,29.698484809834994
C16,0,0,17,21.095023109728988
C16,0,0,17,21.095023109728988
C16,0,0,17,9.055385138137417
C16,0,0,17,9.055385138137417
C16,0,0,17,42.720018726587654
C16,0,0,8,49.49747468305833
C16,0,0,8,19.72308292331602
C16,0,0,8,19.72308292331602
C16,0,0,8,28.284271247461902
C16,0,0,8,28.284271247461902
C16,0,0,8,27.018512172212592
C16,0,0,8,40.52159917870962
C16,0,0,8,27.018512172212592
C16,0,0,8,71.06335201775947
C16,0,0,8,27.586228448267445
C16,0,0,8,59.665735560705194
C16,0,0,8,27.586228448267445
C16,0,0,8,54.56189146281496
C16,0,0,8,41.10960958218893
C16,0,0,8,110.72488428533127
C16,0,0,8,41.10960958218893
C16,0,0,8,67.67569726275453
C16,0,0,19,27.586228448267445
C16,0,0,19,32.31098884280702
C16,0,0,19,42.43819034784589
C16,0,0,19,27.586228448267445
C16,0,0,19,30.01666203960727
