Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
38330.0,13,29.542612640592317,28.2413106350478,27.572824209864947,57.13131313131313,48.07500340182338,18.0,0.0,1.0,D13,0.629
35476.0,16,43.489050639016284,47.15844871496831,42.18337730562727,67.03754469606675,51.35573040380047,10.0,0.0,1.0,D13,0.339
17416.0,25,80.76859710569383,99.38558548074543,93.50873795959471,57.40625,58.226568453136906,3.0,0.0,1.0,D13,0.288
58157.0,9,41.365911090314185,42.45759540153028,36.30646353426689,55.47240051347882,44.107570573139434,15.0,0.0,1.0,D13,0.413
83219.0,12,38.21636928912718,34.456310137067405,42.513520013564474,58.36831275720164,49.112034999744154,23.0,0.0,1.0,D13,0.779
54967.0,30,30.89912890353178,26.658272087811195,20.523447344868142,55.29396511079679,51.711862160371105,24.0,0.0,1.0,D13,0.88
27379.0,21,36.82781408212248,44.84876884351268,36.25658663117864,60.456112852664575,53.27890971304145,10.0,0.0,1.0,D13,0.117
34505.0,29,43.842716481493895,35.89603937642379,40.88609853227952,71.70028275212064,66.31996729155941,9.0,0.0,1.0,D13,0.814
41366.0,36,41.7165424111353,34.94229198300342,62.25976796832368,85.47659126775382,64.71823412648558,11.0,0.0,1.0,D13,0.809
19950.0,24,30.343776788197392,26.61406631039534,32.451338974023535,58.41291585127202,67.30736025353806,12.0,0.0,1.0,D13,0.733
19346.0,27,66.83580603250634,56.01110491313167,66.47628380019786,57.5821325648415,65.05360906967469,4.0,0.0,1.0,D13,0.679
46686.0,32,38.35566645541694,44.2527874527817,45.969083555495025,64.47364341085272,57.00720192051214,14.0,0.0,1.0,D13,0.165
59260.0,33,41.81170102319632,44.878844824584576,40.82642166049958,45.743964421855146,44.00818106967048,15.0,0.0,1.0,D13,0.319
46753.0,8,47.37050430625995,55.56384635519329,48.64869052977877,56.859078590785906,47.36345929972239,10.0,0.0,1.0,D13,0.168
38910.0,14,31.56707506399476,32.044097181768606,29.131968562638622,56.38967786629719,46.007932666451545,16.0,0.0,1.0,D13,0.462
29100.0,26,35.6974111983047,34.942233707299486,39.06723163552549,72.93662628145387,66.71658737024221,11.0,0.0,1.0,D13,0.531
54129.0,17,69.98647568467463,81.8069627612649,57.48013197404435,51.87835926449788,43.15270633397313,6.0,0.0,2.0,D13,0.258
35838.0,25,46.70078986376329,53.4286759207235,60.85252665544975,46.86946107784431,45.991080941219444,9.0,0.0,2.0,D13,0.24
54791.0,20,63.59074872668387,81.63418940746578,75.59392023427851,62.20949263502455,52.196614534025066,7.0,0.0,2.0,D13,0.117
57509.0,21,47.988851061555685,58.540263707605575,62.28408914307629,42.709377901578456,41.28637888131559,11.0,0.0,2.0,D13,0.116
33218.0,23,103.51910655906836,154.16909991580792,125.83383219886315,53.552742616033754,55.74886805688413,3.0,0.0,2.0,D13,0.109
42739.0,15,55.35388434093576,53.988332797522716,58.31074378415009,47.58767507002801,47.14449648137705,8.0,0.0,2.0,D13,0.541
65693.0,29,42.97114432550758,53.70077716692197,29.785477084374065,46.7137669197755,46.89561632627372,15.0,0.0,2.0,D13,0.053
