Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
44294.0,37,40.173220690948,34.88770999695022,43.91192201743929,54.71212121212121,50.93055948674403,13.0,0.0,0.0,E07,0.787
81250.0,29,82.93121963461081,86.47547591048908,86.35476268939111,41.396534148827726,48.487983320697495,6.0,0.0,0.0,E07,0.438
77582.0,24,42.353667263377766,42.20516251647334,42.94014094447318,57.69698692438886,52.210450899254084,18.0,0.0,0.0,E07,0.489
46258.0,22,46.212335092565304,44.51481588068407,31.16648471219,63.320454545454545,56.11134373381959,11.0,0.0,1.0,E07,0.564
39103.0,35,42.75407406764286,41.789195694754774,42.308396733902214,52.437361419068736,55.46722634807879,10.0,0.0,1.0,E07,0.545
44628.0,28,41.00840041820788,48.323796914207,57.9410944408951,62.86604127579737,61.04019448181453,13.0,0.0,1.0,E07,0.161
45329.0,6,44.0282620342721,39.15496963704857,42.046807749033604,61.3413612565445,48.97649956267551,11.0,0.0,1.0,E07,0.724
74728.0,19,38.06122991313515,45.17651216400624,44.40309583147751,50.17744497390515,48.92503946774921,21.0,0.0,1.0,E07,0.076
43297.0,17,40.79502389318519,31.52780854630139,37.07547337981503,72.13285457809695,55.18314557849442,12.0,0.0,1.0,E07,0.901
38330.0,13,29.4523819330262,28.2413106350478,28.558114263367983,57.13131313131313,48.07500340182338,18.0,0.0,1.0,E07,0.602
35476.0,16,43.60094469942045,47.15844871496831,43.126136337500895,67.03754469606675,51.35573040380047,10.0,0.0,1.0,E07,0.334
17416.0,25,78.50343583696659,99.38558548074543,92.40043096854625,57.40625,58.226568453136906,3.0,0.0,1.0,E07,0.245
58157.0,9,41.475757094472996,42.45759540153028,37.9470081744924,55.47240051347882,44.107570573139434,15.0,0.0,1.0,E07,0.422
83219.0,12,38.23462850138925,34.456310137067405,37.520898774667,58.36831275720164,49.112034999744154,23.0,0.0,1.0,E07,0.805
54967.0,30,30.765037772492843,26.658272087811195,30.934818530842012,55.29396511079679,51.711862160371105,24.0,0.0,1.0,E07,0.867
27379.0,21,36.93506928422634,44.84876884351268,47.23017072285762,60.456112852664575,53.27890971304145,10.0,0.0,1.0,E07,0.147
34505.0,29,43.80804373671863,35.89603937642379,48.57462235317166,71.70028275212064,66.31996729155941,9.0,0.0,1.0,E07,0.822
41366.0,36,41.88495648441181,34.94229198300342,44.48436614988455,85.47659126775382,64.71823412648558,11.0,0.0,1.0,E07,0.807
19950.0,24,30.292423615638878,26.61406631039534,41.32840133697551,58.41291585127202,67.30736025353806,12.0,0.0,1.0,E07,0.745
19346.0,27,66.81472041898309,56.01110491313167,59.84507050829296,57.5821325648415,65.05360906967469,4.0,0.0,1.0,E07,0.684
46686.0,32,38.51189389316621,44.2527874527817,30.12207140026522,64.47364341085272,57.00720192051214,14.0,0.0,1.0,E07,0.177
59260.0,33,41.48983925022105,44.878844824584576,36.29337528873607,45.743964421855146,44.00818106967048,15.0,0.0,1.0,E07,0.302
46753.0,8,47.16846395726151,55.56384635519329,47.536405616319676,56.859078590785906,47.36345929972239,10.0,0.0,1.0,E07,0.166
38910.0,14,32.17080834527701,32.044097181768606,34.25008000271236,56.38967786629719,46.007932666451545,16.0,0.0,1.0,E07,0.532
29100.0,26,35.55231778748866,34.942233707299486,42.20161863189726,72.93662628145387,66.71658737024221,11.0,0.0,1.0,E07,0.536
54129.0,17,70.37416085574843,81.8069627612649,61.75238154878601,51.87835926449788,43.15270633397313,6.0,0.0,2.0,E07,0.261
