Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
24288.0,12,8.0,1.0,3.0,6.0,1.0,5.0,D14
35923.0,58,6.0,0.0,0.0,6.0,1.0,5.0,D14
47720.0,27,8.0,0.0,0.0,8.0,1.0,5.0,D14
29766.0,36,7.0,3.0,3.0,7.0,1.0,5.0,D14
37542.0,37,3.0,1.0,2.0,2.0,1.0,5.0,D14
15382.0,9,3.0,0.0,0.0,3.0,1.0,5.0,D14
24465.0,51,3.0,0.0,0.0,3.0,1.0,5.0,D14
54131.0,21,18.0,2.0,2.0,18.0,1.0,5.0,D14
24344.0,44,7.0,1.0,3.0,5.0,1.0,5.0,D14
55216.0,59,6.0,0.0,0.0,6.0,1.0,5.0,D14
34784.0,28,6.0,0.0,0.0,6.0,1.0,5.0,D14
40264.0,32,7.0,0.0,0.0,7.0,1.0,5.0,D14
69071.0,40,12.0,0.0,0.0,12.0,1.0,5.0,D14
45894.0,6,19.0,1.0,2.0,18.0,1.0,5.0,D14
26616.0,15,3.0,0.0,0.0,3.0,1.0,5.0,D14
42350.0,25,5.0,0.0,0.0,5.0,1.0,5.0,D14
35498.0,53,5.0,0.0,0.0,5.0,1.0,5.0,D14
35758.0,35,6.0,2.0,2.0,6.0,1.0,5.0,D14
21212.0,8,5.0,0.0,0.0,5.0,1.0,5.0,D14
69900.0,45,5.0,0.0,0.0,5.0,1.0,5.0,D14
63529.0,50,13.0,0.0,0.0,13.0,1.0,5.0,D14
22965.0,19,13.0,1.0,2.0,12.0,1.0,5.0,D14
49295.0,17,12.0,0.0,0.0,12.0,2.0,0.0,D14
29248.0,16,3.0,0.0,1.0,2.0,2.0,0.0,D14
41707.0,25,8.0,1.0,2.0,7.0,2.0,0.0,D14
39475.0,22,14.0,1.0,1.0,14.0,2.0,0.0,D14
101894.0,28,23.0,0.0,2.0,21.0,2.0,0.0,D14
57948.0,12,14.0,0.0,0.0,14.0,2.0,0.0,D14
47744.0,13,19.0,1.0,2.0,18.0,2.0,0.0,D14
35728.0,18,13.0,3.0,3.0,13.0,2.0,0.0,D14
54918.0,19,17.0,0.0,0.0,17.0,2.0,0.0,D14
49643.0,7,5.0,1.0,2.0,4.0,2.0,0.0,D14
47739.0,26,12.0,0.0,1.0,11.0,2.0,0.0,D14
58381.0,21,8.0,0.0,0.0,8.0,2.0,0.0,D14
35108.0,5,3.0,1.0,1.0,3.0,2.0,0.0,D14
67417.0,10,15.0,0.0,0.0,15.0,2.0,0.0,D14
35743.0,27,14.0,1.0,1.0,14.0,2.0,0.0,D14
54910.0,20,9.0,0.0,0.0,9.0,2.0,0.0,D14
73295.0,11,13.0,0.0,0.0,13.0,2.0,0.0,D14
65793.0,9,15.0,0.0,1.0,14.0,2.0,0.0,D14
132779.0,17,16.0,0.0,0.0,16.0,2.0,1.0,D14
63030.0,8,11.0,0.0,0.0,11.0,2.0,1.0,D14
71453.0,15,11.0,0.0,0.0,11.0,2.0,1.0,D14
48421.0,5,5.0,1.0,1.0,5.0,2.0,1.0,D14
110764.0,11,14.0,0.0,0.0,14.0,2.0,1.0,D14
22248.0,6,6.0,0.0,0.0,6.0,2.0,1.0,D14
46461.0,3,12.0,0.0,0.0,12.0,2.0,1.0,D14
66395.0,4,14.0,1.0,2.0,13.0,2.0,1.0,D14
62765.0,9,13.0,0.0,0.0,13.0,2.0,1.0,D14
66230.0,19,8.0,0.0,0.0,8.0,2.0,1.0,D14
60438.0,2,13.0,0.0,0.0,13.0,2.0,1.0,D14
71307.0,18,13.0,1.0,1.0,13.0,2.0,1.0,D14
108231.0,14,20.0,1.0,1.0,20.0,2.0,1.0,D14
25707.0,7,4.0,0.0,0.0,4.0,2.0,1.0,D14
72307.0,20,43.0,2.0,3.0,42.0,2.0,2.0,D14
45980.0,26,11.0,0.0,0.0,11.0,2.0,2.0,D14
26390.0,27,8.0,0.0,1.0,7.0,2.0,2.0,D14
25274.0,34,8.0,0.0,0.0,8.0,2.0,2.0,D14
74466.0,12,4.0,0.0,0.0,4.0,2.0,2.0,D14
30973.0,33,4.0,0.0,1.0,3.0,2.0,2.0,D14
41291.0,36,5.0,0.0,0.0,5.0,2.0,2.0,D14
52853.0,13,8.0,0.0,0.0,8.0,2.0,2.0,D14
58411.0,19,16.0,0.0,0.0,16.0,2.0,2.0,D14
33347.0,38,8.0,0.0,1.0,7.0,2.0,2.0,D14
52259.0,29,9.0,0.0,1.0,8.0,2.0,2.0,D14
48528.0,22,5.0,0.0,0.0,5.0,2.0,2.0,D14
44684.0,21,3.0,0.0,0.0,3.0,2.0,2.0,D14
59352.0,17,16.0,0.0,0.0,16.0,2.0,2.0,D14
73671.0,30,26.0,0.0,0.0,26.0,2.0,2.0,D14
29089.0,31,5.0,0.0,1.0,4.0,2.0,2.0,D14
50206.0,28,11.0,0.0,0.0,11.0,2.0,2.0,D14
45781.0,35,16.0,0.0,1.0,15.0,2.0,2.0,D14
46008.0,23,10.0,0.0,0.0,10.0,2.0,2.0,D14
79350.0,14,32.0,1.0,2.0,31.0,2.0,2.0,D14
54539.0,7,7.0,0.0,0.0,7.0,2.0,2.0,D14
72729.0,5,9.0,0.0,0.0,9.0,2.0,2.0,D14
47773.0,16,10.0,0.0,0.0,10.0,2.0,2.0,D14
49491.0,26,5.0,2.0,4.0,3.0,2.0,3.0,D14
49357.0,12,20.0,1.0,1.0,20.0,2.0,3.0,D14
74389.0,27,27.0,1.0,1.0,27.0,2.0,3.0,D14
54860.0,37,15.0,0.0,0.0,15.0,2.0,3.0,D14
14670.0,16,1.0,4.0,4.0,1.0,2.0,3.0,D14
85728.0,21,24.0,0.0,2.0,22.0,2.0,3.0,D14
16518.0,11,1.0,0.0,0.0,1.0,2.0,3.0,D14
46654.0,25,5.0,1.0,2.0,4.0,2.0,3.0,D14
59104.0,40,14.0,0.0,0.0,14.0,2.0,3.0,D14
75436.0,38,10.0,0.0,0.0,10.0,2.0,3.0,D14
47610.0,29,10.0,0.0,0.0,10.0,2.0,3.0,D14
32213.0,35,10.0,2.0,3.0,9.0,2.0,3.0,D14
27615.0,20,1.0,0.0,0.0,1.0,2.0,3.0,D14
30002.0,18,8.0,0.0,0.0,8.0,2.0,3.0,D14
69599.0,15,26.0,1.0,1.0,26.0,2.0,3.0,D14
59213.0,43,11.0,0.0,0.0,11.0,2.0,3.0,D14
21635.0,10,11.0,0.0,0.0,11.0,2.0,3.0,D14
50717.0,31,14.0,0.0,0.0,14.0,2.0,3.0,D14
55170.0,39,11.0,0.0,0.0,11.0,2.0,3.0,D14
101253.0,34,11.0,0.0,0.0,11.0,2.0,3.0,D14
50285.0,14,14.0,0.0,0.0,14.0,2.0,3.0,D14
42927.0,33,6.0,0.0,0.0,6.0,2.0,3.0,D14
53763.0,36,9.0,0.0,0.0,9.0,2.0,3.0,D14
17969.0,36,1.0,0.0,0.0,1.0,2.0,4.0,D14
46149.0,37,5.0,4.0,5.0,4.0,2.0,4.0,D14
52032.0,28,35.0,3.0,5.0,33.0,2.0,4.0,D14
74455.0,34,12.0,0.0,0.0,12.0,2.0,4.0,D14
22864.0,51,15.0,3.0,5.0,13.0,2.0,4.0,D14
24823.0,43,11.0,0.0,0.0,11.0,2.0,4.0,D14
55762.0,29,24.0,1.0,3.0,22.0,2.0,4.0,D14
30884.0,19,4.0,0.0,1.0,3.0,2.0,4.0,D14
71964.0,15,10.0,0.0,0.0,10.0,2.0,4.0,D14
58886.0,25,14.0,0.0,0.0,14.0,2.0,4.0,D14
33913.0,40,7.0,0.0,1.0,6.0,2.0,4.0,D14
56525.0,13,14.0,0.0,0.0,14.0,2.0,4.0,D14
61252.0,22,20.0,1.0,1.0,20.0,2.0,4.0,D14
