Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
50161.0,22,17.0,1.0,1.0,17.0,1.0,2.0,F07
39526.0,28,16.0,2.0,2.0,16.0,1.0,2.0,F07
66274.0,19,40.0,2.0,2.0,40.0,1.0,2.0,F07
56185.0,36,25.0,1.0,1.0,25.0,1.0,2.0,F07
59618.0,10,16.0,0.0,0.0,16.0,1.0,2.0,F07
55094.0,15,14.0,1.0,1.0,14.0,1.0,2.0,F07
69949.0,37,36.0,1.0,1.0,36.0,1.0,2.0,F07
52334.0,14,24.0,0.0,1.0,23.0,1.0,3.0,F07
64268.0,8,28.0,0.0,1.0,27.0,1.0,3.0,F07
97392.0,10,22.0,0.0,0.0,22.0,1.0,3.0,F07
77680.0,6,22.0,0.0,0.0,22.0,1.0,3.0,F07
45223.0,18,13.0,0.0,1.0,12.0,1.0,3.0,F07
50095.0,15,18.0,0.0,1.0,17.0,1.0,3.0,F07
49032.0,13,17.0,1.0,1.0,17.0,1.0,3.0,F07
72800.0,3,13.0,0.0,1.0,12.0,1.0,3.0,F07
61986.0,4,13.0,0.0,0.0,13.0,1.0,3.0,F07
59810.0,20,16.0,0.0,0.0,16.0,1.0,3.0,F07
70397.0,17,18.0,0.0,1.0,17.0,1.0,3.0,F07
60695.0,7,14.0,0.0,0.0,14.0,1.0,3.0,F07
52080.0,9,12.0,1.0,1.0,12.0,1.0,3.0,F07
56262.0,12,9.0,0.0,0.0,9.0,1.0,3.0,F07
48226.0,19,23.0,0.0,0.0,23.0,1.0,3.0,F07
17233.0,41,9.0,4.0,5.0,8.0,1.0,4.0,F07
61370.0,36,10.0,0.0,0.0,10.0,1.0,4.0,F07
43743.0,24,14.0,1.0,1.0,14.0,1.0,4.0,F07
46270.0,32,5.0,0.0,0.0,5.0,1.0,4.0,F07
14738.0,42,2.0,0.0,0.0,2.0,1.0,4.0,F07
41887.0,55,5.0,0.0,0.0,5.0,1.0,4.0,F07
16736.0,8,5.0,0.0,1.0,4.0,1.0,4.0,F07
16538.0,16,5.0,2.0,3.0,4.0,1.0,4.0,F07
40475.0,17,13.0,0.0,0.0,13.0,1.0,4.0,F07
46668.0,43,19.0,0.0,0.0,19.0,1.0,4.0,F07
36763.0,51,9.0,0.0,0.0,9.0,1.0,4.0,F07
36248.0,7,10.0,0.0,0.0,10.0,1.0,4.0,F07
54113.0,34,13.0,0.0,0.0,13.0,1.0,4.0,F07
22164.0,52,7.0,4.0,6.0,5.0,1.0,4.0,F07
67254.0,49,22.0,0.0,0.0,22.0,1.0,4.0,F07
30956.0,54,9.0,3.0,4.0,8.0,1.0,4.0,F07
56164.0,26,10.0,0.0,0.0,10.0,1.0,4.0,F07
49666.0,40,17.0,0.0,1.0,16.0,1.0,4.0,F07
44581.0,18,8.0,0.0,0.0,8.0,1.0,4.0,F07
64197.0,48,12.0,0.0,0.0,12.0,1.0,4.0,F07
22282.0,22,5.0,0.0,1.0,4.0,1.0,4.0,F07
80172.0,31,20.0,1.0,1.0,20.0,1.0,4.0,F07
18589.0,10,5.0,0.0,0.0,5.0,1.0,4.0,F07
74184.0,35,15.0,0.0,0.0,15.0,1.0,4.0,F07
