Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
47724.0,26,52.62020766773163,56.615061748906264,49.27172910904367,15.0,0.0,2.0,F08
25580.0,32,55.26622989874925,64.36675418879226,53.69324002033077,9.0,0.0,2.0,F08
41957.0,12,47.17601380500432,53.86234615219585,48.18317244666905,12.0,0.0,2.0,F08
71691.0,19,49.14572864321608,51.48565983118237,43.50410825137755,10.0,0.0,2.0,F08
44216.0,11,47.140969162995596,56.858944514598825,50.98844309752126,5.0,0.0,2.0,F08
69778.0,24,48.43648449039882,52.49014256067478,45.06706985009602,21.0,0.0,2.0,F08
40193.0,18,56.27224513847967,56.54316269451387,47.49015997810564,9.0,0.0,2.0,F08
28434.0,34,84.21991701244814,65.28804804755664,56.51593163114581,4.0,0.0,2.0,F08
58566.0,9,47.768400604360025,52.03682868475198,46.630795239152334,23.0,0.0,2.0,F08
69824.0,10,56.48177339901478,54.85246920042933,47.226669912923924,24.0,0.0,2.0,F08
74857.0,22,52.876352902591016,53.39866503557867,44.746570127042226,16.0,0.0,2.0,F08
42618.0,30,55.47908232118758,53.522907500932405,48.741071847576144,4.0,0.0,2.0,F08
18101.0,12,56.8733986435569,67.68682973779846,61.61692724158886,9.0,0.0,3.0,F08
24849.0,42,52.54146806482364,52.48793897962242,45.00262234235688,6.0,0.0,3.0,F08
28485.0,53,57.62290502793296,66.40854831094576,54.89043356152361,8.0,0.0,3.0,F08
14917.0,28,54.70153496304719,67.9343320255925,62.5846349802239,13.0,0.0,3.0,F08
28577.0,49,64.4326923076923,63.8482919779227,54.02180074885398,4.0,0.0,3.0,F08
48630.0,25,58.7426326129666,59.18019305666868,53.9216021065191,14.0,0.0,3.0,F08
40609.0,9,54.51815642458101,67.59084287466987,58.95168760778517,11.0,0.0,3.0,F08
46194.0,21,58.45772266065389,59.986550267971865,56.39764904533056,18.0,0.0,3.0,F08
87096.0,17,58.88671397112797,57.5362717629526,50.76448771974142,20.0,0.0,3.0,F08
43730.0,39,46.687230514096186,54.4231030911427,49.56592728104276,18.0,0.0,3.0,F08
13881.0,41,56.41649196366178,53.29268347056376,51.312052117263846,7.0,0.0,3.0,F08
56518.0,13,45.69733534439417,58.292546692203544,55.10481616476167,12.0,0.0,3.0,F08
43544.0,32,49.4749430523918,60.50998520019767,54.11057780635679,11.0,0.0,3.0,F08
41741.0,8,66.20499108734403,59.81288225790763,54.99968855561678,3.0,0.0,3.0,F08
45114.0,36,53.27777777777778,56.12505612290121,47.633550560801524,11.0,0.0,3.0,F08
32792.0,54,62.26659038901602,61.020842471514314,49.17015818725951,7.0,0.0,3.0,F08
51758.0,48,57.68394648829432,55.87681048256689,47.79979906487886,5.0,0.0,3.0,F08
35409.0,56,60.677830188679245,56.50322409682287,47.12299132988788,10.0,0.0,3.0,F08
31824.0,33,57.7630615640599,59.1023708553451,52.073340874811464,21.0,0.0,3.0,F08
38980.0,30,56.86169284467714,55.62881254320805,51.0624166239097,12.0,0.0,3.0,F08
52242.0,51,46.99384885764499,48.39329071858555,43.55072546992841,11.0,0.0,3.0,F08
50951.0,26,62.46178861788618,60.94810661947576,55.58622381877785,29.0,0.0,3.0,F08
43066.0,27,63.466914805624484,63.683019064509296,58.57929689314076,13.0,0.0,3.0,F08
47402.0,40,52.80438842203548,54.39108001215854,50.68619467533016,12.0,0.0,3.0,F08
27818.0,47,54.66606170598911,51.244081593557645,44.60855310563482,8.0,0.0,3.0,F08
28620.0,11,68.67928541046363,71.08333586308896,65.13610916724983,13.0,0.0,3.0,F08
40213.0,35,50.6662927650028,52.28456222096858,46.60609753064929,9.0,0.0,3.0,F08
53955.0,23,50.49896136269215,53.413546680458005,50.56613844870726,13.0,0.0,3.0,F08
30240.0,19,52.4757822546078,65.1362015565991,58.11441798941799,14.0,0.0,3.0,F08
37732.0,43,48.01374775851763,55.78364345761595,49.87792854871197,9.0,0.0,3.0,F08
38855.0,22,58.92725880551302,58.27019864824838,54.73488611504311,13.0,0.0,3.0,F08
47656.0,16,56.09546351084813,60.24541066097326,54.07065217391305,12.0,0.0,3.0,F08
30941.0,14,67.87993421052632,65.56204385266977,59.308458033030604,10.0,0.0,3.0,F08
28038.0,52,40.6913680781759,56.28662788130586,47.690669805264285,7.0,0.0,3.0,F08
18976.0,37,50.180851063829785,56.58671086331473,54.12903225806452,8.0,0.0,3.0,F08
40574.0,15,60.237662337662336,67.59138998732797,62.38223985803717,13.0,0.0,3.0,F08
21644.0,54,49.51119402985075,57.69089744672964,48.928109406764,6.0,0.0,4.0,F08
18921.0,17,58.93988684582744,60.12396588575753,57.06437291897891,7.0,0.0,4.0,F08
47962.0,9,70.70601653835186,63.94002976205222,54.84160376965097,15.0,0.0,4.0,F08
24907.0,13,57.85954381752701,65.25887359163477,58.05484401975348,9.0,0.0,4.0,F08
53157.0,16,46.92938420348059,55.98919473461051,48.658125928852265,15.0,0.0,4.0,F08
41444.0,38,54.01782077393075,53.52928379735838,47.023694624071034,11.0,0.0,4.0,F08
16264.0,43,52.561052631578946,60.32509027923013,56.7836325627152,18.0,0.0,4.0,F08
