Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
31362.0,23,53.552742616033754,60.30369854380628,55.74886805688413,3.0,0.0,2.0,D08
40783.0,15,47.58767507002801,54.53393061615712,47.14449648137705,8.0,0.0,2.0,D08
63554.0,29,46.7137669197755,53.726465776626135,46.89561632627372,15.0,0.0,2.0,D08
47724.0,26,52.62020766773163,56.617394672354514,49.27172910904367,15.0,0.0,2.0,D08
25580.0,32,55.26622989874925,67.46613510127929,53.69324002033077,9.0,0.0,2.0,D08
41957.0,12,47.17601380500432,55.078059685362625,48.18317244666905,12.0,0.0,2.0,D08
71691.0,19,49.14572864321608,50.39743037471051,43.50410825137755,10.0,0.0,2.0,D08
44216.0,11,47.140969162995596,57.34276407868359,50.98844309752126,5.0,0.0,2.0,D08
69778.0,24,48.43648449039882,52.87724618245501,45.06706985009602,21.0,0.0,2.0,D08
40193.0,18,56.27224513847967,57.43083927236619,47.49015997810564,9.0,0.0,2.0,D08
28434.0,34,84.21991701244814,66.93739430013115,56.51593163114581,4.0,0.0,2.0,D08
58566.0,9,47.768400604360025,52.31299080412263,46.630795239152334,23.0,0.0,2.0,D08
69824.0,10,56.48177339901478,54.99082581702018,47.226669912923924,24.0,0.0,2.0,D08
74857.0,22,52.876352902591016,51.744192876842504,44.746570127042226,16.0,0.0,2.0,D08
42618.0,30,55.47908232118758,52.5069092100191,48.741071847576144,4.0,0.0,2.0,D08
18101.0,12,56.8733986435569,66.79998693907038,61.61692724158886,9.0,0.0,3.0,D08
24849.0,42,52.54146806482364,52.71013158915341,45.00262234235688,6.0,0.0,3.0,D08
28485.0,53,57.62290502793296,66.80533389780695,54.89043356152361,8.0,0.0,3.0,D08
14917.0,28,54.70153496304719,69.21609800697883,62.5846349802239,13.0,0.0,3.0,D08
28577.0,49,64.4326923076923,64.21661806925417,54.02180074885398,4.0,0.0,3.0,D08
48630.0,25,58.7426326129666,59.93212066023069,53.9216021065191,14.0,0.0,3.0,D08
40609.0,9,54.51815642458101,67.66703073145861,58.95168760778517,11.0,0.0,3.0,D08
46194.0,21,58.45772266065389,60.41954951722032,56.39764904533056,18.0,0.0,3.0,D08
87096.0,17,58.88671397112797,56.94857222034722,50.76448771974142,20.0,0.0,3.0,D08
43730.0,39,46.687230514096186,54.60900178671584,49.56592728104276,18.0,0.0,3.0,D08
13881.0,41,56.41649196366178,52.96715420733566,51.312052117263846,7.0,0.0,3.0,D08
56518.0,13,45.69733534439417,57.92221263575759,55.10481616476167,12.0,0.0,3.0,D08
43544.0,32,49.4749430523918,60.86148684857943,54.11057780635679,11.0,0.0,3.0,D08
41741.0,8,66.20499108734403,58.760741845986466,54.99968855561678,3.0,0.0,3.0,D08
45114.0,36,53.27777777777778,57.014920549835935,47.633550560801524,11.0,0.0,3.0,D08
32792.0,54,62.26659038901602,63.33549803896104,49.17015818725951,7.0,0.0,3.0,D08
51758.0,48,57.68394648829432,56.144684060492246,47.79979906487886,5.0,0.0,3.0,D08
35409.0,56,60.677830188679245,57.4049187365249,47.12299132988788,10.0,0.0,3.0,D08
31824.0,33,57.7630615640599,59.710176295155776,52.073340874811464,21.0,0.0,3.0,D08
38980.0,30,56.86169284467714,55.204925164715824,51.0624166239097,12.0,0.0,3.0,D08
52242.0,51,46.99384885764499,48.51316896111339,43.55072546992841,11.0,0.0,3.0,D08
50951.0,26,62.46178861788618,61.27823696419894,55.58622381877785,29.0,0.0,3.0,D08
43066.0,27,63.466914805624484,63.753102840836306,58.57929689314076,13.0,0.0,3.0,D08
47402.0,40,52.80438842203548,54.51380761091888,50.68619467533016,12.0,0.0,3.0,D08
