Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
44421.0,22,63.320454545454545,63.33431207948654,56.11134373381959,11.0,0.0,1.0,C05
37164.0,35,52.437361419068736,59.253733489296174,55.46722634807879,10.0,0.0,1.0,C05
42371.0,28,62.86604127579737,65.83109516295615,61.04019448181453,13.0,0.0,1.0,C05
43446.0,6,61.3413612565445,58.5962380017391,48.97649956267551,11.0,0.0,1.0,C05
70945.0,19,50.17744497390515,54.27177129829658,48.92503946774921,21.0,0.0,1.0,C05
41366.0,17,72.13285457809695,61.62534933691117,55.18314557849442,12.0,0.0,1.0,C05
36746.0,13,57.13131313131313,57.79035427553367,48.07500340182338,18.0,0.0,1.0,C05
33680.0,16,67.03754469606675,58.415019853254435,51.35573040380047,10.0,0.0,1.0,C05
15748.0,25,57.40625,64.98614418759279,58.226568453136906,3.0,0.0,1.0,C05
56112.0,9,55.47240051347882,53.233039177599096,44.107570573139434,15.0,0.0,1.0,C05
78179.0,12,58.36831275720164,58.46061087883358,49.112034999744154,23.0,0.0,1.0,C05
52815.0,30,55.29396511079679,56.029638922286665,51.711862160371105,24.0,0.0,1.0,C05
25718.0,21,60.456112852664575,62.01034242757132,53.27890971304145,10.0,0.0,1.0,C05
33019.0,29,71.70028275212064,75.9710115776736,66.31996729155941,9.0,0.0,1.0,C05
39799.0,36,85.47659126775382,77.10161117263084,64.71823412648558,11.0,0.0,1.0,C05
18301.0,24,58.41291585127202,71.8181949118033,67.30736025353806,12.0,0.0,1.0,C05
17553.0,27,57.5821325648415,68.42909466279593,65.05360906967469,4.0,0.0,1.0,C05
44988.0,32,64.47364341085272,64.67294199977364,57.00720192051214,14.0,0.0,1.0,C05
57083.0,33,45.743964421855146,48.83779145261054,44.00818106967048,15.0,0.0,1.0,C05
44668.0,8,56.859078590785906,53.14779909347644,47.36345929972239,10.0,0.0,1.0,C05
37188.0,14,56.38967786629719,55.38123805651452,46.007932666451545,16.0,0.0,1.0,C05
27748.0,26,72.93662628145387,72.99143639239503,66.71658737024221,11.0,0.0,1.0,C05
52100.0,17,51.87835926449788,49.903473905806486,43.15270633397313,6.0,0.0,2.0,C05
32904.0,25,46.86946107784431,51.13339020002922,45.991080941219444,9.0,0.0,2.0,C05
52814.0,20,62.20949263502455,58.11274560752489,52.196614534025066,7.0,0.0,2.0,C05
55472.0,21,42.709377901578456,44.74142388161596,41.28637888131559,11.0,0.0,2.0,C05
31362.0,23,53.552742616033754,60.997783988271955,55.74886805688413,3.0,0.0,2.0,C05
40783.0,15,47.58767507002801,53.59721593590364,47.14449648137705,8.0,0.0,2.0,C05
63554.0,29,46.7137669197755,53.788379118727605,46.89561632627372,15.0,0.0,2.0,C05
47724.0,26,52.62020766773163,56.13701244357194,49.27172910904367,15.0,0.0,2.0,C05
25580.0,32,55.26622989874925,65.46468824764408,53.69324002033077,9.0,0.0,2.0,C05
41957.0,12,47.17601380500432,54.9617274073432,48.18317244666905,12.0,0.0,2.0,C05
71691.0,19,49.14572864321608,49.873411710470485,43.50410825137755,10.0,0.0,2.0,C05
44216.0,11,47.140969162995596,58.732307091729446,50.98844309752126,5.0,0.0,2.0,C05
69778.0,24,48.43648449039882,52.10715575605543,45.06706985009602,21.0,0.0,2.0,C05
40193.0,18,56.27224513847967,56.45264999288975,47.49015997810564,9.0,0.0,2.0,C05
