Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
43446.0,6,42.061502866081284,41.787566042575065,42.335968270879924,39.15496963704857,34.99921716147089,11.0,0.0,1.0,D09,0.65
70945.0,19,36.00205169249237,35.153521188412604,35.5892607271076,45.17651216400624,31.969408172397678,21.0,0.0,1.0,D09,0.023
41366.0,17,38.67392425344839,38.57844796459117,39.11112931608687,31.52780854630139,40.21144221601407,12.0,0.0,1.0,D09,0.839
36746.0,13,27.88549815461194,27.414160491204132,27.293141352892544,28.2413106350478,25.00399485287575,18.0,0.0,1.0,D09,0.406
33680.0,16,42.42889833058029,41.83290620462145,41.96551491941267,47.15844871496831,37.55144210203482,10.0,0.0,1.0,D09,0.283
15748.0,25,92.33569639850987,85.08836006053842,81.47409934955925,99.38558548074543,51.395405736767025,3.0,0.0,1.0,D09,0.286
56112.0,9,38.817291824780725,39.269761401401986,39.288655098364266,42.45759540153028,39.72886265330066,15.0,0.0,1.0,D09,0.309
78179.0,12,37.079265454304576,36.399259093218035,35.56483630392869,34.456310137067405,28.026424608532302,23.0,0.0,1.0,D09,0.593
52815.0,30,27.914444971400542,28.62526104892858,28.66212960145822,26.658272087811195,31.617652498834715,24.0,0.0,1.0,D09,0.696
25718.0,21,30.912280608442575,34.90801110853412,35.15694425160262,44.84876884351268,33.64407698399639,10.0,0.0,1.0,D09,0.095
33019.0,29,42.06870635222947,42.03210366404729,42.190328202929386,35.89603937642379,28.387276567138773,9.0,0.0,1.0,D09,0.738
39799.0,36,44.091225740006635,40.709197070709735,40.15438843095892,34.94229198300342,41.05889437521606,11.0,0.0,1.0,D09,0.76
18301.0,24,27.057110237656975,27.96101016832735,27.59514958701656,26.61406631039534,23.84346466722398,12.0,0.0,1.0,D09,0.55
17553.0,27,57.67496972309274,64.18562669214353,63.35848898291787,56.01110491313167,30.595065044238737,4.0,0.0,1.0,D09,0.619
44988.0,32,38.94720627894303,36.273946653646725,36.39483152509061,44.2527874527817,38.35391686450452,14.0,0.0,1.0,D09,0.123
57083.0,33,38.15383006136122,38.641216386586116,39.250336535377514,44.878844824584576,47.50276270332517,15.0,0.0,1.0,D09,0.187
44668.0,8,42.40089033019522,45.14006693353221,45.40001908179969,55.56384635519329,29.612507756379678,10.0,0.0,1.0,D09,0.124
37188.0,14,30.776672406548688,30.137056890961347,29.719774090932958,32.044097181768606,29.47814096641086,16.0,0.0,1.0,D09,0.3
27748.0,26,28.1058655501321,33.170023416662914,34.288776143747995,34.942233707299486,19.679188867382237,11.0,0.0,1.0,D09,0.469
52100.0,17,77.28862110546814,69.81414656246962,70.04093403537588,81.8069627612649,57.08005629527005,6.0,0.0,2.0,D09,0.261
32904.0,25,47.123233816092394,45.59569008796493,45.989602233848125,53.4286759207235,71.77578675688257,9.0,0.0,2.0,D09,0.227
52814.0,20,60.769924105434555,64.91470100129908,62.942677221473495,81.63418940746578,62.24644961331374,7.0,0.0,2.0,D09,0.108
55472.0,21,47.94322463036459,45.23435928109509,46.21051091765826,58.540263707605575,28.322509964317472,11.0,0.0,2.0,D09,0.088
31362.0,23,109.33451880400585,99.67899907495179,103.0733131553245,154.16909991580792,28.49233776761102,3.0,0.0,2.0,D09,0.126
40783.0,15,50.32814833498558,54.02472288954984,56.21773260128493,53.988332797522716,66.5078454801041,8.0,0.0,2.0,D09,0.555
63554.0,29,41.91968281563021,40.16705417427698,40.88136387124477,53.70077716692197,37.48398420535368,15.0,0.0,2.0,D09,0.024
47724.0,26,34.92766440255891,38.31564758470345,38.76581509221412,33.16117454099568,43.29328364472271,15.0,0.0,2.0,D09,0.796
25580.0,32,36.24169868110685,38.10088598323992,38.71299595093276,37.2314200041134,59.08230906800597,9.0,0.0,2.0,D09,0.559
41957.0,12,40.76447935222716,39.06988210698697,40.182323750493545,49.84517053881535,40.01890823602706,12.0,0.0,2.0,D09,0.099
71691.0,19,61.42820867418875,57.08779517926938,57.34467679824668,50.99482763346831,72.96602718522001,10.0,0.0,2.0,D09,0.689
44216.0,11,80.75337863971404,77.89126284630068,74.60335536713883,100.21596223706771,60.02826358053111,5.0,0.0,2.0,D09,0.137
69778.0,24,37.37997907757938,35.24645289425572,34.77511652801672,34.599258262364444,26.721354139127442,21.0,0.0,2.0,D09,0.509
40193.0,18,47.05763635047309,47.18769783690648,46.96208903007301,44.40239069389648,65.40051243482569,9.0,0.0,2.0,D09,0.594
28434.0,34,80.90705346992146,77.12817668956296,72.28556310019788,43.00328933131973,76.98160554437568,4.0,0.0,2.0,D09,0.88
58566.0,9,30.92224361381477,30.697115480907918,30.995490061569527,29.44628421742861,26.40506126519589,23.0,0.0,2.0,D09,0.641
69824.0,10,31.28199610844225,32.47760042289614,32.27559185266752,33.58561277573204,34.20480980845539,24.0,0.0,2.0,D09,0.355
74857.0,22,38.736926191408514,41.744692633009215,41.97483818304672,40.65289531533646,29.495500305759982,16.0,0.0,2.0,D09,0.569
42618.0,30,81.23400414696104,81.67439258025298,91.66304930897587,86.8832445538495,65.46369501721946,4.0,0.0,2.0,D09,0.569
18101.0,12,37.29547497296164,36.5124752904443,36.147541358911795,45.391149497205234,43.975200710610224,9.0,0.0,3.0,D09,0.147
24849.0,42,48.776068964086726,46.131550843495795,46.63813626082129,47.18065731344459,67.8574756332591,6.0,0.0,3.0,D09,0.462
28485.0,53,44.54545198051671,43.65794006270833,44.459270616166556,44.86515781221688,30.545677552708266,8.0,0.0,3.0,D09,0.485
14917.0,28,26.417803961464905,24.661208580479602,25.04365019679006,26.164164120128415,27.843251289685746,13.0,0.0,3.0,D09,0.42
28577.0,49,68.5535703869861,72.79355614906612,73.08591993407849,58.61447472793299,14.418735766604662,4.0,0.0,3.0,D09,0.731
48630.0,25,40.109512378490905,39.479813327878524,38.96681006278515,44.92762794631644,49.47564674124921,14.0,0.0,3.0,D09,0.198
40609.0,9,39.68815300043498,39.77914488246258,40.497267515141665,46.76505897476601,37.09438734466229,11.0,0.0,3.0,D09,0.238
46194.0,21,33.00519216729731,32.02612750643013,32.225729551301654,29.953993703727892,29.54292339011228,18.0,0.0,3.0,D09,0.69
87096.0,17,39.7899789951611,40.242060649656466,39.52091291768076,36.683183875060664,37.06695588512689,20.0,0.0,3.0,D09,0.695
43730.0,39,31.396705247458705,31.559907439618758,31.68962710056905,33.313403991603366,26.576662719832214,18.0,0.0,3.0,D09,0.367
13881.0,41,30.185777334892208,29.79422626158245,30.17164035076994,33.34743870717234,23.24277600923241,7.0,0.0,3.0,D09,0.334
