Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
47724.0,26,39.42648432399884,39.56720458389003,38.791999028232816,33.16117454099568,39.92668677109377,15.0,0.0,2.0,E05,0.788
25580.0,32,40.47776532648664,40.33306779637991,38.662743399756046,37.2314200041134,45.14188250202458,9.0,0.0,2.0,E05,0.551
41957.0,12,39.08737827415094,40.083658726112105,39.883683939282825,49.84517053881535,39.72274668159249,12.0,0.0,2.0,E05,0.08
71691.0,19,58.19643871257442,58.3928468569582,58.223004812472,50.99482763346831,32.91867293323186,10.0,0.0,2.0,E05,0.72
44216.0,11,69.88639828517245,72.76028131902842,74.57270474682687,100.21596223706771,41.95053510619762,5.0,0.0,2.0,E05,0.14
69778.0,24,33.583631800275676,34.958881622798856,34.824699497033066,34.599258262364444,31.61698765101694,21.0,0.0,2.0,E05,0.507
40193.0,18,43.14193977678966,46.41610151067548,46.75848410335741,44.40239069389648,54.169257433337435,9.0,0.0,2.0,E05,0.597
28434.0,34,74.45261390090748,72.28212260281033,72.08619346203052,43.00328933131973,106.3674470407249,4.0,0.0,2.0,E05,0.881
58566.0,9,32.93455747132128,31.1050063833602,30.847208307577745,29.44628421742861,28.376400371012547,23.0,0.0,2.0,E05,0.621
69824.0,10,32.341738443137736,31.65084787830175,32.15743422610499,33.58561277573204,34.64033781054156,24.0,0.0,2.0,E05,0.349
74857.0,22,41.568326131559836,41.655572995402196,41.95357381496624,40.65289531533646,44.241404164352815,16.0,0.0,2.0,E05,0.562
42618.0,30,71.34745080362867,89.55319995391315,88.94677364641176,86.8832445538495,97.48235477164215,4.0,0.0,2.0,E05,0.525
18101.0,12,31.959481496908772,35.6724393517027,35.52115372541474,45.391149497205234,37.5537855085579,9.0,0.0,3.0,E05,0.137
24849.0,42,46.93411079704715,46.56640920249551,47.04743161296959,47.18065731344459,36.138934144798334,6.0,0.0,3.0,E05,0.485
28485.0,53,45.86345102546045,44.12172091823972,43.869671065207726,44.86515781221688,45.569862326454825,8.0,0.0,3.0,E05,0.476
14917.0,28,23.733567693142227,25.254319607867473,24.893238718574008,26.164164120128415,28.516763048120488,13.0,0.0,3.0,E05,0.415
28577.0,49,64.24008966384335,77.77797355588112,72.80728647053589,58.61447472793299,52.37591205996199,4.0,0.0,3.0,E05,0.715
48630.0,25,39.07530450051736,40.615873151473494,39.307843899110736,44.92762794631644,34.38642261738153,14.0,0.0,3.0,E05,0.208
40609.0,9,36.89152390688821,38.4857751482584,40.853755991298705,46.76505897476601,32.02922462958947,11.0,0.0,3.0,E05,0.244
46194.0,21,34.44460469499312,31.883630033608338,32.343599860986515,29.953993703727892,26.773753388271732,18.0,0.0,3.0,E05,0.697
87096.0,17,40.25457199036607,39.75373116976317,39.52176924777883,36.683183875060664,38.73978925823216,20.0,0.0,3.0,E05,0.695
43730.0,39,29.070459999590334,31.802398983185086,31.786209654437638,33.313403991603366,34.96490203627211,18.0,0.0,3.0,E05,0.365
13881.0,41,29.890241566288,30.433123744988656,29.62340198395367,33.34743870717234,38.61290661428551,7.0,0.0,3.0,E05,0.314
56518.0,13,49.83325691493435,48.40355379539251,46.8299746032407,36.48740502168639,56.93764890987111,12.0,0.0,3.0,E05,0.869
43544.0,32,41.89210722968555,43.25758782011693,42.752241484557366,53.73719787500824,47.73486049006806,11.0,0.0,3.0,E05,0.097
41741.0,8,99.25512835109798,110.05395680287405,109.44528548169586,134.1396243521082,112.55094645607481,3.0,0.0,3.0,E05,0.306
45114.0,36,43.000761090073475,43.564455217904225,42.124174476927585,36.13517252979821,33.33325455546797,11.0,0.0,3.0,E05,0.788
32792.0,54,51.37418258840554,50.466886578787744,49.824934862510304,38.550304692651245,39.54640280187105,7.0,0.0,3.0,E05,0.828
51758.0,48,83.16586173605413,75.74679033813682,77.11218412536132,81.23076805008371,69.71240372280049,5.0,0.0,3.0,E05,0.426
35409.0,56,41.75008188509348,42.78338835815587,41.43103063692393,42.1322623596991,37.0105157584869,10.0,0.0,3.0,E05,0.464
31824.0,33,27.230954663528735,24.744360831745965,24.524647334642356,25.604380979082006,27.612363991859525,21.0,0.0,3.0,E05,0.377
38980.0,30,36.85523001173566,39.578174203806036,37.886108903947985,36.5845212649616,42.53334074113331,12.0,0.0,3.0,E05,0.575
52242.0,51,48.326836866245465,44.56479495191665,45.45133317212276,55.82442273195554,56.95126964189335,11.0,0.0,3.0,E05,0.114
50951.0,26,25.691471570346852,25.299225676120543,25.335935210286742,30.257258645942123,25.794350247412403,29.0,0.0,3.0,E05,0.046
43066.0,27,39.01780441636864,38.49343319841109,38.738914673850665,43.44877062568575,31.893766559686444,13.0,0.0,3.0,E05,0.247
47402.0,40,43.784392363891996,42.166268299979386,44.19066297492075,40.30819551489378,36.26541654769756,12.0,0.0,3.0,E05,0.684
27818.0,47,37.615550128713934,39.928140916795165,41.214064406422764,41.252195883121836,38.37223772049157,8.0,0.0,3.0,E05,0.481
28620.0,11,34.69537723070349,33.15331332196611,33.43627329341821,34.1728982873944,40.37975968361089,13.0,0.0,3.0,E05,0.447
40213.0,35,48.273864610931916,46.11310179478097,47.66629493896695,57.87699417867033,62.42886035456273,9.0,0.0,3.0,E05,0.158
53955.0,23,43.00352979259876,42.38643341717213,42.2767330987039,49.97018351007569,46.84509328709266,13.0,0.0,3.0,E05,0.16
30240.0,19,31.219658099134858,31.166960276290617,30.956945946101712,37.91466814223056,34.035223284526076,14.0,0.0,3.0,E05,0.099
37732.0,43,46.33192915868246,51.253038376850185,48.22030995421709,60.96708065546274,48.56869124588879,9.0,0.0,3.0,E05,0.125
38855.0,22,40.24397248912404,37.332902268000275,36.66827507033308,35.76311345023334,31.552825855052028,13.0,0.0,3.0,E05,0.55
47656.0,16,41.518178464392506,42.27579306713352,41.973864881310206,40.53948385842853,40.65267025001361,12.0,0.0,3.0,E05,0.568
30941.0,14,35.63841226494735,38.64255145230982,38.539763186460604,43.51088981396079,39.520974618509385,10.0,0.0,3.0,E05,0.261
28038.0,52,47.166722985205766,46.34135500266426,49.08221221780758,40.137464777227436,52.152766783460045,7.0,0.0,3.0,E05,0.735
18976.0,37,36.02628567761698,41.50469826487328,41.61551664621334,46.53486151957713,63.64496153520169,8.0,0.0,3.0,E05,0.329
40574.0,15,36.612921606650524,37.50804683124941,37.13557181305248,40.33371615504087,29.768447512005668,13.0,0.0,3.0,E05,0.333
21644.0,54,44.15938071188748,49.448436396425286,49.926742636096286,51.14710944187292,53.306750841500254,6.0,0.0,4.0,E05,0.479
18921.0,17,48.776324253458405,45.714618565090575,45.63982682266686,34.46294542885912,48.979280611200615,7.0,0.0,4.0,E05,0.821
47962.0,9,33.639142617481056,34.98477881020435,35.25444944046013,31.358722450811836,37.28785743896681,15.0,0.0,4.0,E05,0.744
24907.0,13,38.98727417467465,37.68711929380508,37.17392299891849,34.534034996675736,36.24161075286909,9.0,0.0,4.0,E05,0.632
